X,Y,SP_ID,AGEB_ID,CVEGEO,antiguedad,abastecimi,capacidad,cal_agua,contaminat,crec_urb,desp_agua,desv_agua,efic_serv,elevacion,escasez,falla_in,Falta_in,falta_dren,gasto,health,ingreso,monto,obstruc,pet_del_dr,pet_usr_d,poblacion,ponding,pres_hid,CM,estado,municipio,KMEANS5,PRECIP,ACUIF
-98.9110443093354,19.5509275196868,73,765,"""1501100010176""",9,60,9999,41,82,3.92,94,0,98,0,0.0625,0.089,0.0142,1,0,9999,0.56872,57,21,1,2.2,807,9999,53,0.105077,15,11,9999,9999,4
-98.9121845714927,19.566278453229,74,766,"""1501100010180""",9,68,9999,57,69,0,17,0,14,0,0.0625,0.068,0.0221,1,0,9999,0.57149,79,41,1,0,530,9999,67,0.065495,15,11,9999,9999,4
-98.9082518671185,19.547081361178,75,767,"""1501100010231""",9,47,9999,2,95,0,20,0,69,0,0.0625,0.079,0.0243,1,0,9999,0.46624,32,58,0.5,0,185,9999,54,0.086667,15,11,9999,9999,4
-98.9311092518069,19.5810150714461,76,768,"""1501100020049""",14,266,9999,24,12,0,0,0,93,0,0.0625,0.078,0.0276,1,0,9999,0.56926,56,43,1,2.4,4659,9999,38,0.020223,15,11,9999,9999,4
-98.9271983184675,19.5779030700212,77,769,"""1501100020161""",9,196,9999,38,29,2.44,38,0,66,0,0.0625,0.046,0.0518,1,0,9999,0.59945,53,8,1,2,1106,9999,84,0.023403,15,11,9999,9999,4
-98.9250480435502,19.5758703026676,78,770,"""1501100020212""",9,83,9999,69,72,0,78,0,34,0,0.0625,0.047,0.0405,1,0,9999,0.49335,76,67,0.25,0,105,9999,94,0.026555,15,11,9999,9999,4
-98.9372254056806,19.5754798142165,79,771,"""1501100020227""",14,97,9999,27,4,0,91,0,52,0,0.0625,0.078,0.0377,1,0,9999,0.44433,71,77,1,0,673,9999,82,0.020697,15,11,9999,9999,4
-98.9330006068552,19.574735805045,80,772,"""1501100020246""",9,11,9999,85,77,0,11,0,61,0,0.0625,0.045,0.0211,1,0,9999,0.47076,22,37,1,0,118,9999,10,0.021227,15,11,9999,9999,4
-98.9468238968554,19.5856522249688,81,773,"""1501100040034""",14,87,9999,6,47,1.52,58,0,11,0,0.0625,0.118,0.015,1,0,9999,0.62276,16,10,1,1.6,3692,9999,73,0.097071,15,11,9999,9999,4
-98.9414519190497,19.5851271064398,82,774,"""1501100040157""",9,93,9999,4,30,0,40,0,51,0,0.0625,0.061,0.0073,1,0,9999,0.52137,21,7,1,2.4,715,9999,75,0.053054,15,11,9999,9999,3
-98.9634642066143,19.5900637739781,83,775,"""1501100130250""",14,58,9999,71,74,0,40,0,86,0,0.0625,0.109,0.0115,1,0,9999,0.56257,91,57,1,0.6,2875,9999,28,0.079024,15,11,9999,9999,3
-98.9580628330593,19.5901005679136,84,776,"""1501100130265""",14,123,9999,27,72,1.96,96,0,40,0,0.0625,0.105,0.0444,1,0,9999,0.56818,88,60,1,0,2115,9999,15,0.072329,15,11,9999,9999,3
-98.9718777065264,19.5863870169598,85,777,"""1501100290284""",6,25,9999,97,77,0,92,0,26,0,0.0625,0.06,0.0831,1,0,9999,0.3758,97,85,1,1,1310,9999,32,0.082538,15,11,9999,9999,3
-98.9754501770959,19.5908532627577,86,778,"""1501100290299""",6,32,9999,70,93,0,91,0,94,0,0.0625,0.077,0.0239,1,0,9999,0.43321,27,39,1,0,981,9999,2,0.114895,15,11,9999,9999,3
-98.9714093116857,19.5934624567322,87,779,"""1501100290301""",6,10,9999,78,70,0,41,0,96,0,0,0.06,0.0237,1,0,9999,0.4487,74,44,0.5,0,1243,9999,77,0.082706,15,11,9999,9999,3
-98.9722078212848,19.5897601203294,88,780,"""1501100290316""",6,33,9999,65,57,0,45,0,57,0,0.0625,0.062,0.1315,1,0,9999,0.40638,62,35,1,4.6,1115,9999,85,0.086332,15,11,9999,9999,3
-98.967785882893,19.5917386938058,89,781,"""1501100290320""",6,33,9999,53,14,3.13,92,0,38,0,0.0625,0.052,0,1,0,9999,0.42251,95,89,1,1.1,1172,9999,96,0.067615,15,11,9999,9999,3
-99.235055628261,19.5962015473624,90,787,"""1501300010039""",18,27,9999,61,39,100,34,0,61,0.1,0.0625,0.135,0.0315,1,0,9999,0.70048,23,4,0.351943,0,3814,9999,34,0,15,13,9999,9999,3
-99.2306386914035,19.5844957297893,91,788,"""1501300010062""",18,162,9999,36,71,100,90,0,95,0,0.0625,0.132,0.042,1,0,9999,0.68911,50,29,0.351943,0,8091,9999,31,0,15,13,9999,9999,3
-99.2212127260034,19.5668114583426,92,789,"""1501300010128""",33,80,9999,77,84,100,59,0,10,0,0.0625,0.265,0.0422,1,0,9999,0.93991,95,26,0.351943,0,3795,9999,19,0,15,13,9999,9999,2
-99.2225060887671,19.5619166681881,93,790,"""1501300010132""",33,185,9999,25,14,100,56,0,47,0,0.0625,0.265,0.0373,1,0,9999,0.89113,45,38,0.351943,0,2105,9999,44,0,15,13,9999,9999,2
-99.2709219436873,19.5575263506402,94,791,"""1501300010147""",18,77,9999,86,12,95.83,47,0,58,0.1,0.0625,0.13,0.0198,1,0,9999,0.76444,98,28,0.351943,0,4533,9999,19,0,15,13,9999,9999,2
-99.2565485368008,19.5574770366162,95,792,"""1501300010170""",18,161,9999,62,34,100,57,0,8,0,0.0625,0.131,0.1193,1,0,9999,0.86512,98,13,0.351943,0,5456,9999,31,0,15,13,9999,9999,2
-99.244369627801,19.552695495863,96,793,"""1501300010202""",18,108,9999,43,92,100,70,0,4,0,0.0625,0.129,0.1419,1,0,9999,0.9216,4,54,0.351943,0,3941,9999,21,0,15,13,9999,9999,2
-99.2369143303849,19.5528518355737,97,794,"""1501300010221""",33,45,9999,24,36,100,34,0,69,0,0.0625,0.265,0,1,0,9999,0.86574,21,78,0.351943,0,3855,9999,59,0,15,13,9999,9999,2
